N-Negative,N-Positive,Randomizer,Layers,Layer 1,Layer 2,Layer 3,Layer 4,Act - 1,Act -2,Act-3,Act-4,Optimizer,Epoch,Loss,Metric,Accuracy Train,Accuracy Test,Delta,FileName,Total,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.970800102,,NN-5C,29072,19,28514,10,529,98%,66%,3%,7%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.970021427,,NN-5C,29072,10,28497,27,538,98%,27%,2%,3%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.970410764,,NN-5C,29072,14,28496,28,534,98%,33%,3%,5%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.970800102,,NN-5C,29072,14,28510,14,534,98%,50%,3%,5%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.970216095,,NN-5C,29072,22,28484,40,526,98%,35%,4%,7%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.970994771,,NN-5C,29072,9,28509,15,539,98%,38%,2%,3%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971578717,,NN-5C,29072,4,28518,6,544,98%,40%,1%,1%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.969826758,,NN-5C,29072,14,28497,27,534,98%,34%,3%,5%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.970800102,,NN-5C,29072,5,28517,7,543,98%,42%,1%,2%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,1,28523,1,547,98%,50%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,1,28522,2,547,98%,33%,0%,0%
20000,548,50,4,11,11,11,11,relu,relu,relu,relu,adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-5C,29072,0,28521,3,548,98%,0%,0%,0%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.744525552,,NN-6A,29072,433,21142,7382,115,74%,6%,79%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.755474448,,NN-6A,29072,456,19825,8699,92,70%,5%,83%,9%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.748175204,,NN-6A,29072,457,20152,8372,91,71%,5%,83%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.7591241,,NN-6A,29072,453,20452,8072,95,72%,5%,83%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.784671545,,NN-6A,29072,464,19462,9062,84,69%,5%,85%,9%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.7591241,,NN-6A,29072,458,19622,8902,90,69%,5%,84%,9%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.770072997,,NN-6A,29072,446,20256,8268,102,71%,5%,81%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.762773752,,NN-6A,29072,457,19788,8736,91,70%,5%,83%,9%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.791970789,,NN-6A,29072,461,19505,9019,87,69%,5%,84%,9%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.770072997,,NN-6A,29072,442,20835,7689,106,73%,5%,81%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.770072997,,NN-6A,29072,460,19536,8988,88,69%,5%,84%,9%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.7591241,,NN-6A,29072,448,20391,8133,100,72%,5%,82%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.755474448,,NN-6A,29072,439,20879,7645,109,73%,5%,80%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.81021899,,NN-6A,29072,452,20277,8247,96,71%,5%,82%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.748175204,,NN-6A,29072,437,20521,8003,111,72%,5%,80%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.748175204,,NN-6A,29072,441,20116,8408,107,71%,5%,80%,9%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.784671545,,NN-6A,29072,433,20955,7569,115,74%,5%,79%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.766423345,,NN-6A,29072,423,21534,6990,125,76%,6%,77%,11%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.766423345,,NN-6A,29072,442,20422,8102,106,72%,5%,81%,10%
548,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.726277351,,NN-6A,29072,460,18747,9777,88,66%,4%,84%,9%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,1,28523,1,547,98%,50%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970994771,,NN-6C,29072,0,28519,5,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971189439,,NN-6C,29072,3,28515,9,545,98%,25%,1%,1%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971189439,,NN-6C,29072,0,28523,1,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971189439,,NN-6C,29072,1,28516,8,547,98%,11%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,1,28522,2,547,98%,33%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970994771,,NN-6C,29072,3,28515,9,545,98%,25%,1%,1%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,2,28523,1,546,98%,67%,0%,1%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.7408759,,NN-7A,29072,447,20200,8324,101,71%,5%,82%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.718978107,,NN-7A,29072,468,19437,9087,80,68%,5%,85%,9%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.748175204,,NN-7A,29072,436,21005,7519,112,74%,5%,80%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.762773752,,NN-7A,29072,449,20311,8213,99,71%,5%,82%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.704379559,,NN-7A,29072,438,20723,7801,110,73%,5%,80%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.748175204,,NN-7A,29072,451,20589,7935,97,72%,5%,82%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.733576655,,NN-7A,29072,441,20335,8189,107,71%,5%,80%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.733576655,,NN-7A,29072,446,20508,8016,102,72%,5%,81%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.737226248,,NN-7A,29072,446,20934,7590,102,74%,6%,81%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.770072997,,NN-7A,29072,447,20434,8090,101,72%,5%,82%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.733576655,,NN-7A,29072,464,19562,8962,84,69%,5%,85%,9%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.751824796,,NN-7A,29072,450,20053,8471,98,71%,5%,82%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.733576655,,NN-7A,29072,437,20579,7945,111,72%,5%,80%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.751824796,,NN-7A,29072,460,19873,8651,88,70%,5%,84%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.777372241,,NN-7A,29072,451,20344,8180,97,72%,5%,82%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.748175204,,NN-7A,29072,451,20638,7886,97,73%,5%,82%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.781021893,,NN-7A,29072,436,21222,7302,112,74%,6%,80%,11%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.733576655,,NN-7A,29072,437,20959,7565,111,74%,5%,80%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.755474448,,NN-7A,29072,451,20406,8118,97,72%,5%,82%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.777372241,,NN-7A,29072,455,20455,8069,93,72%,5%,83%,10%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-7C,29072,5,28521,3,543,98%,63%,1%,2%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970410764,,NN-7C,29072,7,28509,15,541,98%,32%,1%,2%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-7C,29072,10,28519,5,538,98%,67%,2%,4%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-7C,29072,1,28520,4,547,98%,20%,0%,0%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-7C,29072,3,28520,4,545,98%,43%,1%,1%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971189439,,NN-7C,29072,7,28517,7,541,98%,50%,1%,2%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970994771,,NN-7C,29072,8,28514,10,540,98%,44%,1%,3%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971578717,,NN-7C,29072,8,28516,8,540,98%,50%,1%,3%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970994771,,NN-7C,29072,3,28521,3,545,98%,50%,1%,1%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970605433,,NN-7C,29072,23,28495,29,525,98%,44%,4%,8%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970605433,,NN-7C,29072,13,28509,15,535,98%,46%,2%,5%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970410764,,NN-7C,29072,5,28516,8,543,98%,38%,1%,2%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971189439,,NN-7C,29072,5,28522,2,543,98%,71%,1%,2%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970021427,,NN-7C,29072,8,28504,20,540,98%,29%,1%,3%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970994771,,NN-7C,29072,5,28514,10,543,98%,33%,1%,2%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-7C,29072,2,28521,3,546,98%,40%,0%,1%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971189439,,NN-7C,29072,7,28506,18,541,98%,28%,1%,2%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-7C,29072,1,28523,1,547,98%,50%,0%,0%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971578717,,NN-7C,29072,4,28517,7,544,98%,36%,1%,1%
20000,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.968658745,,NN-7C,29072,18,28481,43,530,98%,30%,3%,6%
